Name;Currency;Market Cap;Carbon footprint (total GHG emissions / enterprise value);Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector;Average training hours per employee;Number of female board members;Number of board members;Share of women in total workforce in %;Share of women in management bodies in %;Gender pay gap in %;Rate of employees with disabilities in %;Board gender diversity (female board members / total board members) in %;Total energy consumption in mwh;Rate of resignation in %
DNB BANK ASA;NOK;325954000000.0;;Stock;Ordinary Shares;Oslo Børs;NO0010161896;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;5.0;10.0;0.462;0.417;;;0.5;;
EQUINOR;NOK;902133000000.0;2,061.02 Ton / Million (USD);Stock;Ordinary Shares;Oslo Børs;NO0010096985;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas;;4.0;10.0;0.32;0.36;;;0.4;;
FRONTLINE PLC;NOK;57615000000.0;;Stock;Ordinary Shares;Oslo Børs;CY0200352116;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;;0.0;6.0;0.263;;;;0.0;;
GOLDEN OCEAN GROUP;NOK;28978000000.0;622.17 Ton / Million (USD);Stock;Ordinary Shares;Oslo Børs;BMG396372051;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;;0.0;5.0;0.342;;;;0.0;5967680.885;
HAFNIA LIMITED;NOK;41254000000.0;;Stock;Ordinary Shares;Oslo Børs;BMG4233B1090;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;16.3;1.0;6.0;0.054;0.17;;;0.167;;
HOEGH AUTOLINERS ASA;NOK;18648000000.0;776.2357 Ton / Million (USD);Stock;Ordinary Shares;Oslo Børs;NO0011082075;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;;3.0;7.0;0.46;0.29;;;0.429;;0.079
KONGSBERG GRUPPEN;NOK;131062000000.0;206.86 Ton / Million (NOK);Stock;Ordinary Shares;Oslo Børs;NO0003043309;50, Industrials;5020, Industrial Goods and Services;502030, General Industrials;50203000, Diversified Industrials;;4.0;8.0;0.216;0.21;0.08;;0.5;174434.0;0.053
MOWI;NOK;95174000000.0;210.91 Ton / Million (EUR);Stock;Ordinary Shares;Oslo Børs;NO0003054108;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102010, Farming, Fishing, Ranching and Plantations;13.9;4.0;9.0;0.4;0.25;;0.016;0.444;910834.062;
MPC CONTAINER SHIPS;NOK;5781000000.0;2,637.81 Ton / Million (USD);Stock;Ordinary Shares;Oslo Børs;NO0010791353;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;;2.0;5.0;0.364;;;;0.4;5931381.967;
NEL;NOK;7902000000.0;1.5834 Ton / Million (NOK);Stock;Ordinary Shares;Oslo Børs;NO0010081235;60, Energy;6010, Energy;601020, Alternative Energy;60102020, Renewable Energy Equipment;7.2;3.0;7.0;0.205;0.111;0.15;;0.429;16729.0;
NORDIC SEMICONDUCTOR;NOK;17524000000.0;28.36 Ton / Million (USD);Stock;Ordinary Shares;Oslo Børs;NO0003055501;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;4.0;10.0;0.171;0.2;;;0.4;5177.0;
NORSK HYDRO;NOK;145212000000.0;117.16 Ton / Million (NOK);Stock;Ordinary Shares;Oslo Børs;NO0005052605;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102035, Aluminum;;4.0;11.0;;;;;0.364;45700000.0;
