Name;Currency;Market Cap;CDP;FTSE4Good;MSCI ESG Ratings;Moody's ESG Solution;Sustainalytics;Carbon footprint (total GHG emissions / enterprise value);Share of women in total workforce;Rate of resignation;Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector
BPER BANCA;EUR;6.129B;;;;;;;47 %;1.07 %;Stock;Ordinary Shares;Euronext Milan;IT0000066123;30, Financials;3010, Banks;301010, Banks;30101010, Banks
BUZZI;EUR;6.596B;;;;;;;14.2 %;;Stock;Ordinary Shares;Euronext Milan;IT0001347308;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101030, Cement
;;;;;;;;;;;;;;;;;;
CNH INDUSTRIAL;EUR;14.736B;;;;;;;10.6 %;;Stock;Ordinary Shares;Euronext Global Equity Market;NL0010545661;50, Industrials;5020, Industrial Goods and Services;502040, Industrial Engineering;50204010, Machinery: Agricultural
DIASORIN;EUR;5.067B;;;;;;;43 %;;Stock;Ordinary Shares;Euronext Milan;IT0003492391;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102010, Medical Equipment
ENEL;EUR;58.824B;;;;;;0.0009 Million tons / Million (EUR);23.4 %;;Stock;Ordinary Shares;Euronext Milan;IT0003128367;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity
ENI;EUR;50.351B;Water Security, 2023;;;;;2,547.3534 Ton / Million (EUR);26.86 %;2.68 %;Stock;Ordinary Shares;Euronext Milan;IT0003132476;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas
ERG;EUR;3.641B;;;;;14.1 Low Risk;26.68 Ton / Million (EUR);31 %;5.4 %;Stock;Ordinary Shares;Euronext Milan;IT0001157020;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity
;;;;;;;;;;;;;;;;;;
FINECOBANK;EUR;8.429B;;;;;;;;;Stock;Ordinary Shares;Euronext Milan;IT0000072170;30, Financials;3010, Banks;301010, Banks;30101010, Banks
GENERALI ASS;;;;;;;;1.73 Ton / Million (EUR);51.1 %;;Stock;Ordinary Shares;Euronext Milan;IT0000062072;30, Financials;3030, Insurance;303020, Non-life Insurance;30302010, Full Line Insurance
HERA;EUR;4.665B;;;;;;1,264.5281 Ton / Million (EUR);27.64 %;2.42 %;Stock;Ordinary Shares;Euronext Milan;IT0001250932;65, Utilities;6510, Utilities;651020, Gas, Water and Multi-utilities;65102000, Multi-utilities
INTERPUMP GROUP;EUR;4.475B;;;;;;;19.2 %;;Stock;Ordinary Shares;Euronext Milan;IT0001078911;50, Industrials;5020, Industrial Goods and Services;502040, Industrial Engineering;50204000, Machinery: Industrial
INTESA SANPAOLO;EUR;60.315B;A;;;;12.2;;53.7 %;2.8 %;Stock;Ordinary Shares;Euronext Milan;IT0000072618;30, Financials;3010, Banks;301010, Banks;30101010, Banks
INWIT;EUR;9.415B;;;;;;18.7958 Ton / Million (EUR);38 %;;Stock;Ordinary Shares;Euronext Milan;IT0005090300;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services
